flow_id,size,source,target,fct
418,112,392,137,1058
415,114,224,345,1822
419,50,566,1009,915
399,127,313,736,8366
413,99,571,768,3711
396,73,932,787,9847
420,130,940,87,926
421,88,815,280,835
422,81,546,347,821
401,128,239,797,7403
423,118,571,215,1420
424,121,60,812,1218
425,80,565,814,1163
426,124,903,889,1552
427,96,789,781,1861
375,9827,780,352,20088
406,113,972,489,9730
428,115,616,554,1863
429,112,221,346,1683
430,116,930,279,2437
432,102,1001,94,1121
434,71,547,958,777
433,110,75,993,1973
439,80,306,617,811
357,9782,251,552,29329
436,104,535,386,2005
441,91,484,690,1540
395,9737,798,818,19393
362,10260,507,552,29555
443,92,880,324,573
442,151,109,646,682
404,9938,538,295,18412
447,21,367,234,979
444,77,498,664,1496
451,142,387,129,1522
445,107,588,802,4381
440,59,461,862,7871
454,102,930,732,1748
448,108,146,415,3498
453,90,533,250,1870
455,141,746,17,1547
459,53,1013,439,1056
462,121,308,663,692
461,60,146,576,1786
466,100,274,415,907
463,98,252,797,1282
450,102,87,851,4828
456,112,52,499,3474
452,84,113,508,3968
446,116,71,880,7183
449,84,620,903,5133
469,99,376,408,1143
468,101,269,917,1203
457,95,349,508,4308
476,112,525,11,700
471,121,105,396,1736
474,85,792,418,937
475,42,216,1018,867
477,85,877,188,1441
478,55,621,430,947
481,123,957,586,387
480,86,922,608,560
479,74,734,838,1913
482,65,299,452,1199
486,149,360,710,1444
488,81,426,783,1190
487,115,550,610,2327
493,80,154,94,1089
490,60,812,838,1717
465,130,45,224,9062
494,102,538,371,1510
460,116,260,283,9998
496,95,744,143,715
495,100,961,180,1228
431,9776,882,93,20798
497,81,1005,1001,1727
498,105,1019,46,1612
435,9969,512,585,20373
485,71,1015,476,5604
499,91,54,654,1946
484,130,164,486,5664
473,75,48,490,9127
467,110,748,521,11090
437,10236,926,519,20544
438,10011,559,295,21110
470,93,621,237,11313
505,65,241,157,1152
500,55,821,260,2876
502,66,612,277,2334
507,86,800,55,1524
511,79,89,385,889
509,112,300,500,1015
510,64,720,557,969
508,104,929,287,3028
501,88,384,293,5760
514,108,951,284,2068
513,102,112,344,2212
515,73,73,63,1987
518,77,892,485,574
523,108,144,654,930
521,104,730,896,1260
524,128,874,674,1844
504,127,633,734,6742
492,112,953,740,10620
489,104,637,761,10945
522,98,667,357,2111
503,92,948,798,7045
516,100,435,802,3201
506,111,776,809,5981
520,116,273,379,2289
525,65,556,913,1603
526,129,53,835,1638
528,80,863,584,1113
527,91,806,888,1153
458,10027,328,873,20178
531,96,934,4,1523
530,73,881,296,1593
532,28,867,345,973
529,55,305,441,1790
536,139,695,675,1114
537,109,725,4,1066
535,124,772,85,1167
534,112,598,979,1548
464,10285,527,543,20635
542,96,491,488,1154
472,10033,294,703,20364
517,143,354,520,7789
541,81,839,193,2412
519,99,400,200,7501
544,79,116,342,1114
546,97,148,429,861
543,51,478,569,1721
539,164,533,99,3448
540,99,211,44,3388
548,102,880,347,1487
547,109,321,366,1807
550,111,163,889,353
549,73,435,970,899
551,136,343,342,1348
553,81,731,196,931
552,82,633,945,988
483,9957,354,0,20610
555,121,872,887,1461
556,109,579,848,1650
560,117,502,324,1162
559,70,58,655,1338
558,82,506,663,1475
491,10191,830,391,21179
563,91,170,839,1363
561,65,404,427,1655
545,101,957,745,8131
564,122,205,99,2033
566,108,718,172,1443
565,122,622,943,1570
567,94,46,226,1703
573,96,998,327,848
569,82,415,886,1134
